intersection_name,osm_node_id,,,Google Earth Data,,,,OSM Generated Data,,,,UTDF Data,,,,OSM and Google Earth Data Comparison,,,,,UTDF and Google Earth Data Comparison,,,,,OSM and Google Earth Data KPI,,,,,UTDF and Google Earth Data KPI,,,,
,,mvmt_txt_id,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lanes,x-coordinate,y-coordinate,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,,Lane Comparison,,x_coord comparison,y_coord comparison,
SR 95 & Thunderstruck,175263709,SBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,EBL,,0,,,,1,,,,0,,,,0,,0,0,,1,,,,,1,,,,,0,,,,
SR 95 & Thunderstruck,175263709,EBT,,0,,,,1,,,,0,,,,1,,0,0,,2,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,EBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Thunderstruck,175263709,EBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,EBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,WBL,,0,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Thunderstruck,175263709,WBT,,0,,,,1,,,,0,,,,1,,0,0,,2,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,WBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Thunderstruck,175263709,WBTL,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Thunderstruck,175263709,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,NBL,,1,-114.598093,35.1152091,,1,-114.59809,35.11522001,,1,,,,0,,-3.00579E-06,-1.09136E-05,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,NBT,,0,,,,1,,,,2,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
SR 95 & Ramar,175215355,NBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,NBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,NBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,SBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,SBT,,0,,,,1,,,,2,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
SR 95 & Ramar,175215355,SBR,,0,,,,1,,,,0,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,SBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,SBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,EBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,EBT,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,EBR,,1,,,,1,,,,0,,,,0,,0,0,,1,,,,,1,,,,,0,,,,
SR 95 & Ramar,175215355,EBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,EBTR,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,WBL,,1,,,,1,,,,1,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Ramar,175215355,WBT,,1,,,,1,,,,0,,,,1,,0,0,,2,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,WBR,,0,,,,1,,,,1,,,,0,,0,0,,-1,,,,,1,,,,,0,,,,
SR 95 & Ramar,175215355,WBTL,,0,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Ramar,175215355,WBTR,,1,,,,0,,,,0,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,NBL,,1,-114.571117,35.1360482,,1,-114.57118,35.13593999,,?,,,,0,,6.29779E-05,0.000108206,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,NBT,,2,,,,2,,,,2,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Laughlin Ranch,8523160344,NBR,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,NBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,NBTR,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,SBL,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,SBT,,1,,,,2,,,,2,,,,0,,0,0,,0,,,,,1,,,,,1,,,,
SR 95 & Laughlin Ranch,8523160344,SBR,,0,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,SBTL,,0,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,SBTR,,1,,,,0,,,,?,,,,-,,0,0,,-,,,,,0,,,,,0,,,,
SR 95 & Laughlin Ranch,8523160344,EBL,,1,,,,1,,,,?,,,,0,,0,0,,N/A,,,,,1,,,,,0,,,,
